,ID,food_type,desc_text,cleaned
5317,9246125,f,"Slice Gluten Free Bread, Coleslaw, Smoked Salmon, Homemade Smoked Mackerel Pate","['gluten free bread', 'slice', 'coleslaw', 'smoked salmon', 'homemade', 'smoked', 'mackerel', 'pate']"
5318,7467779,w,Pint Water,['pint water']
5319,4899059,w,Pint Water,['pint water']
5320,7598272,f,Mushroom Soup,['mushroom soup']
5321,5912805,w,Pint Water,['pint water']
5322,5560287,b,Pint Low Cal Cider,"['low', 'cider']"
5323,4461684,b,Pint Low Cal Cider,"['low', 'cider']"
5324,1040909,f,"Pork Steak, 2 Small Baked Potatoes, Creamed Carrots, Broccoli, Half Fat Butter","['pork', 'steak', 'baked potato', 'small', 'carrot', 'broccoli', 'half', 'butter']"
5325,8296411,b,Medium Glass White Wine,"['white wine', 'medium', 'glass']"
5326,6251095,b,Medium Glass White Wine,"['white wine', 'medium', 'glass']"
5327,5623372,b,Medium Glass White Wine,"['white wine', 'medium', 'glass']"
5328,3234312,f,2 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5329,2225605,b,Glass Orange Juice,"['orange juice', 'glass']"
5330,3871172,f,Bowl Rice Krispies,"['bowl', 'rice', 'krispies']"
5331,1388056,w,Large Glass Water,"['large', 'glass', 'water']"
5332,1700938,w,Large Glass Water,"['large', 'glass', 'water']"
5333,8921007,w,Large Glass Water,"['large', 'glass', 'water']"
5334,3674443,f,"Chicken Breast, Cherry Tomatoes, Portion Coleslaw","['chicken breast', 'cherry tomato', 'coleslaw']"
5335,9634754,w,Large Glass Water,"['large', 'glass', 'water']"
5336,7344102,w,Large Glass Water,"['large', 'glass', 'water']"
5337,9827220,f,2 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5338,2653419,w,Large Glass Water,"['large', 'glass', 'water']"
5339,9696727,f,Raspberries,['raspberry']
5340,3541420,f,"Roast Chicken Breast, Baked Potatoes, Asparagus","['roast chicken', 'baked potato', 'asparagus']"
5341,2055541,f,2 Bits Chocolate Orange,"['chocolate', 'orange']"
5342,1472033,w,Large Glass Water,"['large', 'glass', 'water']"
5343,6052176,w,Pint Water,['pint water']
5344,8676644,w,Large Glass Water,"['large', 'glass', 'water']"
5345,1160685,b,Glass Orange Juice,"['orange juice', 'glass']"
5346,4218328,f,Bowl Rice Krispies,"['bowl', 'rice', 'krispies']"
5347,997379,w,Large Glass Water,"['large', 'glass', 'water']"
5348,9661624,f,2 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5349,4042985,w,Pint Water,['pint water']
5350,9818219,f,"Coleslaw, Ham Salad","['coleslaw', 'ham', 'salad']"
5351,8496722,b,Can Coke Zero,['coke zero']
5352,9871841,f,2 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5353,7755686,w,Pint Water,['pint water']
5354,5603309,w,Large Glass Water,"['large', 'glass', 'water']"
5355,3687438,f,2 Milk Tray Chocolates,"['milk', 'tray', 'chocolate']"
5356,5181961,w,Large Glass Water,"['large', 'glass', 'water']"
5357,6242663,f,"Chicken Shashlick, Rice, Vegetables","['chicken', 'rice', 'vegetable']"
5358,6274825,w,Pint Water,['pint water']
5359,8403256,w,Large Glass Water,"['large', 'glass', 'water']"
5360,4592343,w,Large Glass Water,"['large', 'glass', 'water']"
5361,1835166,w,Large Glass Water,"['large', 'glass', 'water']"
5362,4955736,w,Water,['water']
5363,7739072,w,Pint Water,['pint water']
5364,6974541,b,Glass Orange Juice,"['orange juice', 'glass']"
5365,8755492,f,Bowl Rice Krispies,"['bowl', 'rice', 'krispies']"
5366,4819791,w,Pint Water,['pint water']
5367,6282218,f,1 Slice Homemade Banana Bread,"['banana bread', 'slice', 'homemade']"
5368,3989144,f,Raspberries,['raspberry']
5369,7714791,w,Large Glass Water,"['large', 'glass', 'water']"
5370,5415961,w,Large Glass Water,"['large', 'glass', 'water']"
5371,1127714,f,Portion Crisps,['crisp']
5372,1266531,w,Pint Water,['pint water']
5373,4764279,f,"2 Small Baked Potatoes, Roast Chicken","['baked potato', 'small', 'roast chicken']"
5374,4273687,w,Water,['water']
5375,5671892,f,Cornetto Ice Cream,"['ice cream', 'cornetto']"
5376,4767290,w,Water,['water']
5377,5182504,w,Large Glass Water,"['large', 'glass', 'water']"
5378,2401395,w,Water,['water']
5379,6277817,w,Pint Water,['pint water']
5380,1178968,w,Water,['water']
5381,4067515,w,Water,['water']
5382,8868464,b,Glass Orange Juice,"['orange juice', 'glass']"
5383,2384290,b,Can Coke Zero,['coke zero']
5384,4270051,w,Pint Water,['pint water']
5385,2605774,w,Water,['water']
5386,7920790,f,Burger Salad,"['burger', 'salad']"
5387,711414,w,Pint Water,['pint water']
5388,9683383,f,Small Tin Sweet Corn,"['sweet corn', 'small']"
5389,8551570,f,1 Slice Homemade Banana Bread,"['banana bread', 'slice', 'homemade']"
5390,6946738,f,"Bowl Saute Mushrooms, Working Late","['bowl', 'mushroom', 'late']"
5391,743522,b,Medium Glass White Wine,"['white wine', 'medium', 'glass']"
5392,767578,f,Portion Crisps,['crisp']
5393,6915044,f,2 Slices Homemade Banana,"['slice', 'homemade', 'banana']"
5394,5392241,b,Medium Glass White Wine,"['white wine', 'medium', 'glass']"
5395,2238017,w,Large Glass Water,"['large', 'glass', 'water']"
5396,2551524,w,Large Glass Water,"['large', 'glass', 'water']"
5397,2554538,w,Pint Water,['pint water']
5398,1102695,w,Pint Water,['pint water']
5399,7047003,f,"Ham Cheese Coleslaw Lettuce, Sandwich","['ham cheese', 'coleslaw', 'lettuce', 'sandwich']"
5400,4210672,w,Large Glass Water,"['large', 'glass', 'water']"
5401,6615766,w,Large Glass Water,"['large', 'glass', 'water']"
5402,5733947,b,Pint Cider,['cider']
5403,8237732,b,Pint Cider,['cider']
5404,3262122,b,Glass Orange Juice,"['orange juice', 'glass']"
5405,825259,w,Half Pint Water,"['pint water', 'half']"
5406,2605983,w,Half Pint Water,"['pint water', 'half']"
