gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,equivalent,reference,comment
black coffee heavy whipping cream,,coffee with heavy whipping cream,coffee with heavy whipping cream,b,5,"coffee, dairy",cream,,"caffeine, saturated fat",,complete,4,,,
laird creamer tablespoon maple syrup,laird,supercreamer with maple syrup,supercreamer with maple syrup,"b, modifier",5,"dairy alternative, other","creamer, syrup",,"added sugar, additive",,complete,4,,,
protein powder scoop coconut water,,protein powder with coconut water,,b,5,"protein, juice/smoothie","protein powder, juice",,,supplement,complete,4,,,
cup coffee alm milk cream,,coffee with almond milk and cream,coffee with almond milk and cream,b,5,"coffee, dairy alternative, dairy","nut, cream",,"caffeine, saturated fat",,complete,4,,,
coffee raw sugar half half,,coffee with half and half and raw sugar,coffee with half and half and raw sugar,b,5,"coffee, dairy, other","half and half, raw sugar",,"caffeine, added sugar",,complete,4,,,
iced coffee cream maple syrup,,coffee with cream and maple syrup,coffee with cream and maple syrup,b,5,"coffee, dairy, other","cream, syrup",,"caffeine, saturated fat, added sugar",,complete,,,,
espresso,,espresso,,b,1,coffee,,,caffeine,,complete,,,,
cocoa,,cocoa,,b,1,other,cocoa,,,,complete,,,,
butterfat,,butterfat,,b,1,dairy,,,saturated fat,,complete,,,,
caffeine,,caffeine,,b,1,,,,caffeine,,vague,,,,
americano,,americano,,b,1,coffee,,,caffeine,,complete,,,,
cola,coke,soda,,b,1,soda,,,"added sugar, caffeine",,complete,,,,
starbuck,starbucks,,starbucks,modifier,1,,,,,,vague,,,,
coca,,cocoa,cocoa,b,1,other,cocoa,,,,complete,,,,
yoghurt,,yogurt,yogurt,b,1,dairy,yogurt,,,,complete,,,,
herbal tea,,herbal tea,,b,2,tea,herbal,,,,complete,1,,,
tea milk,,tea with milk,tea with milk,b,2,"tea, dairy",milk,,saturated fat,,complete,1,,,
bulletproof coffee,bulletproof,keto coffee,bulletproof coffee,b,2,"coffee, dairy",butter,,"additive, caffeine, saturated fat",,complete,3,"bullet proof, bulletproof, bulletproof coffee",https://www.bulletproof.com/recipes/bulletproof-diet-recipes/bulletproof-coffee-recipe/#p1,
soy milk,,soy milk,,b,2,dairy alternative,,,,,complete,4,,,
ml water,,water,water,w,2,,,,,,,1,,,
cup tea,,tea,tea,"modifier, b",2,tea,,,,,incomplete,1,,,
earl grey tea,,tea,tea,b,3,tea,earl grey,,,,complete,1,,,
coffee heavy cream,,coffee with heavy cream,coffee with heavy cream,b,3,"coffee, dairy",cream,,"caffeine, saturated fat",,complete,4,,,
coffee coconut oil,,coffee with coconut oil,coffee with coconut oil,b,3,coffee,,,"caffeine, additive",,complete,3,,,
coffee stevia,,coffee with stevia,coffee with stevia,b,2,coffee,,,artificial sweetener,,complete,4,,,
coffee heavy,,,,b,2,,,,,,vague,4,,,probably same as coffee with heavy cream
skimmed milk,,skim milk,skim milk,b,2,dairy,milk,skim,,,complete,1,,,
skim milk,,skim milk,,b,2,dairy,milk,skim,,,complete,1,,,
apple juice,,apple juice,,b,2,juice/smoothie,fruit,,added sugar,,complete,1,,,
whole milk,,whole milk,,b,2,dairy,milk,,saturated fat,,complete,1,,,
hot chocolate,,hot chocolate,,b,2,other,hot chocolate,,,,complete,4,,,
peppermint tea,,peppermint tea,,b,2,tea,herbal,,,,complete,1,,,
milk coffee,,coffee with milk,coffee with milk,b,2,"coffee, dairy",milk,,"caffeine, saturated fat",,complete,1,,,
