gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,equivalent,reference,comment
torte,,cake,,f,1,dessert/sweet treat,baked good,,"added sugar, saturated fat",,complete,4,,,
onigiri,,rice ball,,f,1,"grain, protein",rice,,,,complete,3,,,
sayote,,chayote,chayote,f,1,vegetable,,,,,complete,1,,,
shiozake,,japanese salted salmon,,f,1,protein,seafood,fish,,,complete,3,,,
mange tout,,snap peas,,f,2,protein,legume,pea,,,complete,1,,,
mcflurry,mcdonald's,ice cream,,f,1,dairy,ice cream,,saturated fat,,complete,4,,,
benecol,benecol,butter spread with less fat,,f,1,dairy,butter,,,,incomplete,4,,,
smore,,smore,,f,1,"dessert/sweet treat, grain","wheat, chocolate",,"added sugar, saturated fat",,complete,4,,,
poptarts,pop-tarts,toaster pastry,,f,1,grain,wheat,,"added sugar, highly processed",,complete,4,,,
dulce leche,,milk and sugar,,f,2,dairy,milk,,"added sugar, saturated fat",,complete,4,,,
posole,,mexican soup,,f,1,other,soup,,high sodium,,incomplete,3,,,
rotini,,screw-like pasta,,f,1,grain,wheat,,,,complete,1,,,
pirate booty,pirate's booty,rice and corn snack,,f,2,grain,"rice, corn",,highly processed,,complete,4,,,
jalepeno popper,,jalepeno popper,,f,2,"fruit, dairy",cream cheese,,saturated fat,,complete,3,,,
philly cheesesteak,,steak and cheese sandwich,,f,2,"grain, protein, dairy","wheat, red meat, cheese",beef,saturated fat,,complete,4,,,
stroopwafel,,wafer cookie with caramel filling,,f,1,"grain, dessert/sweet treat","wheat, chocolate",,"added sugar, highly processed",,complete,4,,,
redcurrant,,berry,,f,1,fruit,berry,,,,complete,1,,,
pac choi,,pak choi,,f,2,vegetable,,,,,complete,1,,,
cannoli filling,,cannoli filling,,f,2,dairy,cheese,,saturated fat,,complete,4,,,
lavender,,lavender,,f,1,other,herb,,,,complete,1,,,
rosehip marmelade,,rosehip marmalade,rosehip marmalade,f,2,fruit,,,added sugar,spread,incomplete,3,,,
furikake,,"sesame seeds, nori, salt, sugar",,f,1,"seed, vegetable",,,dried,,complete,3,,,
spry,spry,vegetable shortening,,f,1,oil,vegetable,,saturated fat,,complete,2,,,
demerara,,raw cane sugar,,f,1,other,sugar,,added sugar,,complete,2,,,
groundnut,,peanut,,f,1,nut,peanut,,,,complete,1,,,
popchips,popchips,potato chips,,f,1,vegetable,potato,,highly processed,,complete,4,,,
okara,,insoluble parts of soybean,,f,1,protein,legume,bean,,,complete,1,,,
fondant,,icing,,f,1,other,"sugar, shortening",,added sugar,,complete,4,,,
bearnaise,,sauce with egg yolks and butter,,f,1,"dairy, protein","butter, egg",,saturated fat,,complete,3,,,
pakoras,,"indian fritter, battered and deep fried vegetables",,f,1,other,plant,,,,complete,3,,,
poulet,,"french for ""chicken""",,f,1,protein,poultry,chicken,,,complete,3,,,
smartfood,smartfood,popcorn,,f,1,grain,corn,,,,complete,4,,,
borsch,,beet soup,,f,1,"vegetable, other","root, soup",,,,incomplete,3,,,
shiraz,,grape,,f,1,fruit,,,,,complete,1,,,
litchi,,lychee,lychee,f,1,fruit,,,,,complete,1,,,
wheaties,wheaties,cereal,,f,1,grain,cereal,,,,complete,4,,,
gorditas,,corn flour pastry with fillings,,f,1,grain,corn,,,,incomplete,3,,,
teddy graham,teddy grahams,honey graham snacks,,f,2,"dessert/sweet treat, grain",wheat,,"added sugar, highly processed",,complete,4,,,
panino,,italian sandwich,,f,1,"grain, protein, dairy","what, cheese",,"high sodium, saturated fat, highly processed",,complete,3,,,
sago,,tapioca pearls,,f,1,vegetable,root,,highly processed,,complete,4,,,
bamboo shoo,,bamboo shoots,bamboo shoots,f,2,vegetable,,,,,complete,1,,,
grapenuts,grapenuts,cereal,,f,1,grain,cereal,,,,complete,4,,,
unwich,,sandwich with lettuce as buns,,f,1,"vegetable, protein, dairy",cheese,,saturated fat,,incomplete,3,,,
nasi lemak,,rice cooked in coconut milk,,f,2,grain,rice,,,,incomplete,3,,,
gardettos,gardettos,pretzels and chips,,f,1,grain,,,highly processed,,incomplete,4,,,
daim,daim,chocolate bar,,f,1,dessert/sweet treat,chocolate,,"added sugar, highly processed",,complete,4,,,
tartlet,,mini tart,,f,1,dessert/sweet treat,baked good,,"added sugar, saturated fat",,complete,4,,,
samphire,,samphire,,f,1,vegetable,,,,,complete,1,,,
ryvitas,ryvitas,crispbread,,f,1,grain,rye,,highly processed,,complete,3,,,
soya chunk,,defatted soy flour chunks,,f,2,protein,legume,bean,highly processed,,complete,4,,,made from soy flour
picadillo,,meat and vegetable dish,,f,1,"protein, vegetable",,,,,incomplete,3,,,
ragi,,ragi,,f,1,grain,cereal,,,,incomplete,1,,,flour? or as a grain
sunbites,sun bites,chips,,f,1,grain,"corn, wheat, oat",,highly processed,,complete,4,,,
tessemaes ceaser,tessemae's,caesar salad dressing,,f,2,dairy,"mayo, cheese",,"saturated fat, high sodium",,complete,3,,,
kvinoia,,quinoa,quinoa,f,1,seed,,,,,complete,1,,,
cardiman,,cardamom,cardamom,f,1,other,spice,,,,complete,2,,,
crispix,crispix,cereal,,f,1,grain,cereal,,"highly processed, added sugar",,complete,4,,,
sao,sao,biscuit,,f,1,grain,wheat,,highly processed,,complete,4,,,
rasmalai,,indian sweet dessert,,f,1,"dessert/sweet treat, dairy",milk,,added sugar,,complete,4,,,
blackstrap molasses,,blackstrap molasses,,f,2,other,sugar,,added sugar,,complete,2,,,
wagon wheel,wagon wheels,biscuit with chocolate,,f,2,"dessert/snack, grain","chocolate, wheat",,"added sugar, highly processed",,complete,4,,,
bocconcini,,small mozzarella cheese balls,,f,1,dairy,cheese,,saturated fat,,complete,3,,,
onnit fatbutter,onnit,nut butter,,f,2,nut,,,,spread,complete,4,,,
miracle whip,miracle whip,mayo condiment with added sugar and spices,,f,2,dairy,mayo,,"added sugar, unsaturated fat",condiments,complete,4,,,
lenny larrys,lenny larrys,protein cookie,,f,2,"dessert/sweet treat, protein",baked good,,added sugar,,complete,4,,,
basa loin,,fish,,f,2,protein,seafood,fish,,,complete,3,,,
emmer,,wheat,,f,1,grain,wheat,,,,complete,1,,,
hallumi,,"cheese, mixture of goat's and sheep's milk",,f,1,dairy,cheese,,"fried, saturated fat",,complete,3,,,
turron,,nougat,,f,1,"dessert/sweet treat, dairy, nut","candy, eggs",,added sugar,,incomplete,4,,,
dessertspoon bluebe,,blueberry bread,blueberry spoon bread,f,2,"dessert/sweet treat, fruit, dairy","baked good, berry, butter, eggs",,"saturated fat, added sugar",,incomplete,4,,,
pongal,,south indian rice and lentil dish,,f,1,"grain, dairy","rice, milk",,added sugar,,incomplete,3,,,
batata,,sweet potato,sweet potato,f,1,vegetable,root,,,,complete,1,,,
general tsos,,sweet and spicy deep fried chicken dish,general tso's,f,2,protein,poultry,chicken,"high sodium, added sugar, fried",,incomplete,4,,,
cracklins,,pork rind,,f,1,protein,pork ,,fried,,complete,4,,,
matzo ball,,matzo ball soup,,f,2,"grain, protein, vegetable","soup, wheat, root, eggs",,high sodium,,incomplete,3,,,
uttapam,,indian dosa,,f,1,"grain, vegetable",rice,,,,incomplete,3,,,
dhokla,,savory cake made with fermented batter of lentils and rice,,f,1,"grain, protein","rice, legume, baked good",bean,,,incomplete,3,,,
kashmirispice plantbased,,,,f,2,,,,,,vague,v,,,
baclava,,"filo pastry, filled with chopped nuts, with syrup or honey",baklava,f,1,"grain, nut, dessert/sweet treat","wheat, baked good",,added sugar,,incomplete,3,,,
gnocci,,gnocchi,gnocchi,f,1,"grain, vegetable, dairy","wheat, root, cheese,eggs",,saturated fat,,incomplete,1,,,
houmus,,hummus,hummus,f,1,protein,legume,bean,unsaturated fat,dip,incomplete,3,,,
idlis,,indian savory rice cake,,f,1,grain,rice,,,,incomplete,3,,,
nugo,nugo,protein bar,,f,1,protein,,,,bars,incomplete,4,,,
gomacro,gomacro,protein bar,,f,1,protein,,,,bars,incomplete,4,,,
rellenos,,"roasted poblano peppers stuffed with cheese, coated in egg batter",chile rellenos,f,1,"vegetable, dairy, grain","wheat, cheese, eggs",,saturated fat,,complete,3,,,
choczero,choczero,keto sugar free syrup,,f,1,dessert/sweet treat,chocolate,,sugar free,,incomplete,4,,,
soyrizo,,soy-based chorizo meat substitute,,f,1,protein,soy,,"high sodium, highly processed",,incomplete,4,,,
bhaaji,,"indian dish of potato, tomato puree and other mixed vegetables",,f,1,vegetables,root,,,,incomplete,3,,,
pao queijo,,brazilian cheese bread,,f,2,"grain, dairy","wheat, cheese, eggs",,saturated fat,,incomplete,3,,,
alfajor,,cookies filled with dulce de leche,,f,1,dessert/sweet treat,baked good,,"added sugar, saturated fat",,complete,4,,,
rogan josh,,curried meat dish,,f,2,protein,red meat,lamb,saturated fat,,incomplete,3,,,
aloo paratha,,indian bread,,f,2,"grain, vegetable","wheat, root",,,,incomplete,3,,,
finnish squeaky,,finnish fresh cheese,,f,2,dairy,cheese,,,,incomplete,3,,,
chaat,,"mixture of potato pieces, crisp fried bread dahi vada or dahi bhalla, gram or chickpeas ",,f,1,"grain, protein","wheat, root, legume",bean,,,incomplete,3,,,
kheer,,indian pudding,,f,1,"dairy, grain","milk, rice",,added sugar,,complete,4,,,
sacha inchi,,plant,,f,2,other,plant,,,,complete,1,,,
chole,,chickpeas with spices,,f,1,protein,legume,pea,,,complete,3,,,
crudites,,raw vegetables cut into thin slices,,f,1,vegetable,,,,,complete,1,,,
pupusas,,flatbread usualy made with cornmeal with filling,,f,1,grain,corn,,,,incomplete,3,,,
bento box,,"carb, vegetable, protein",,f,2,"grain, vegetable, protein",,,,,incomplete,3,,,
kinder,kinder,chocolate,,f,1,dessert/sweet treat,chocolate,,added sugar,,complete,4,,,
peanubutter,,peanut butter,peanut butter,f,1,nut,peanut,,added sugar,spread,complete,4,,,
questbar,quest,protein bar,,f,1,protein,bar,,added sugar,,complete,4,,,
fenugreek leaf,,fenugreek leaf,,f,2,other,herb,,,,complete,1,,,
goji b,,goji berry,goji berry,f,2,fruit,berry,,,,complete,1,,,
hommous,,hommous,,f,1,protein,legume,pea,,,complete,3,,,
burek,,pastry with meat,,f,1,"grain, protein",,,,,incomplete,3,,,
cornish pasty,,pastry with meat and vegetables inside,,f,2,"grain, vegetable, protein",wheat,,,,incomplete,4,,,
puding,,pudding,pudding,f,1,dairy,"milk, cream",,"saturated fat, added sugar",,complete,4,,,
oatmega,oatmega,protein bars and cookies,,f,1,protein,bar,,"added sugar, additive",,complete,4,,,
chapathi,,unleavened flatbread,,f,1,grain,wheat,,,,complete,3,,,
shumai,,chinese pork and mushroom dumpling,,f,1,"grain, protein",wheat,,,,incomplete,3,,,
poppadoms,,large piece of bread,,f,1,protein,legume,bean,highly processed,,complete,3,,,
marscapone,,italian soft cheese made from cream,,f,1,dairy,cream,,saturated fat,,complete,3,,,
cruskits,cruskits,biscuits,,f,1,grain,"wheat, rye",,,,complete,4,,,
ajvar,,"condiment made of red bell peppers, eggplant, and oil",,f,1,"vegetable, other",oil,,,condiment,complete,3,,,
pupusa,,flatbread usualy made with cornmeal with filling,,f,1,grain,corn,,,,incomplete,3,,,
avocardo,,avocado,avocado,f,1,fruit,,,unsaturated fat,,complete,1,,,
vegtables,,vegetables,vegetables,f,1,vegetable,,,,,complete,1,,,
fusilli,,type of pasta,,f,1,grain,wheat,,,,complete,1,,,
froot loop,kellogg's,cereal,froot loops,f,2,grain,cereal,,"added sugar, highly processed",,complete,4,,,
macncheese,,mac and cheese,mac and cheese,f,1,"grain, dairy","wheat, cheese",,"saturated fat, high sodium, highly processed",,complete,4,,,
twinkie,twinkie,sponge cake with filling,,f,1,"grain, dairy",wheat,,"added sugar, trans fat, saturated fat",,complete,4,,,
kedgeree,,indian rice and smoked fish dish,,f,1,"grain, protein","rice, seafood",fish,,,complete,3,,,
bahn mi,,vietnamese sandwich,,f,2,"grain, protein, vegetable",wheat,,,,incomplete,3,,,
bibimbap,,rice with vegetables and protein,,f,1,"grain, vegetable, protein",wheat,,,,incomplete,3,,,
brinjal,,eggplant,,f,1,vegetable,,,,,complete,1,,,
toad hole,,egg or sausage in the middle of bread,,f,2,"grain, protein",wheat,,,,incomplete,4,,,
menudo,,cow's stomach in broth with a red chili base,,f,1,"protein, fruit, other","red meat, broth",,saturated fat,,incomplete,3,,,
sherbet,,sugar-sweetened water with flavoring,,f,1,dessert/sweet treat,sherbet,,added sugar,,incomplete,4,,,
kadhi,,fried vegetables in gram flour-based gravy,,f,1,"protein, vegetable",legume,chickpea,"fried, saturated fat",,incomplete,3,,,
dukkah,,"herbs, nuts, and spices",,f,1,"nut, other","herb, spice",,,,complete,3,,,
bark thins,barkthins,chocolate,,f,2,dessert/sweet treat,chocolate,,added sugar,,complete,4,,,
pav bhaji,,thick vegetable curry with a soft bread roll,,f,2,"vegetable, grain",wheat,,,,complete,3,,,
arrowroot,,arrowroot,,f,1,other,plant,,,,complete,1,,,
baba ganoush,,"mashed cooked eggplant, olive oil, lemon juice, various seasonings, and sometimes tahini",,f,2,"vegetable, other",oil,,unsaturated fat,,complete,3,,,
hoisin,,"soy sauce, peanut butter, olive oil",,f,1,"grain, protein, nut","wheat, legume",bean,"high sodium, highly processed",sauce,incomplete,3,,,
remoulade,,"mayo, herbs, pickles",,f,1,"dairy, fruit, other","mayo, herb",,saturated fat,,complete,4,,,
au gratin,,dish baked with topping of seasoned breadcrumbs and cheese,,f,2,"grain, dairy","wheat, cheese",,baked,,incomplete,3,,,
congee,,rice porridge,,f,1,grain,rice,,,,incomplete,3,,,
antipasto,,first course of italian meal,,f,1,,,,,,vague,v,,,
chilaquiles,,corn tortillas slightly fried,,f,1,"grain, dairy","corn, cheese",,"saturated fat, fried",,incomplete,3,,,
boursin,boursin,cheese,,f,1,dairy,cheese,,saturated fat,,complete,3,,,
tagine,,moroccan stew dish,,f,1,protein,,,,,incomplete,3,,,
porrige,,porridge,,f,1,grain,,,,,incomplete,1,,,
papad,,seasoned flatbread made from dried dough of black gram bean flour,,f,1,protein,legume,bean,highly processed,,incomplete,3,,,
ritz,ritz,crackers,,f,1,grain,wheat,,,,complete,4,,,
taro,,taro,,f,1,vegetable,root,,,,complete,1,,,
mascarpone,,italian soft cheese made from cream,,f,1,dairy,cream,,saturated fat,,complete,3,,,
desayuno,,breakfast,"spanish for ""breakfast""",f,1,,,,,,vague,v,,,
tallow,,beef or mutton fat,,f,1,protein,red meat,,saturated fat,,incomplete,2,,,
sunbutter,sunbutter,sunflower seed butter,,f,1,seed,,,,,complete,3,,,
tzaziki,,"yogurt with cucumbers, olive oil, and herbs",,f,1,dairy,yogurt,,saturated fat,,complete,3,,,
chimichanga,,deep-fried burrito,,f,1,"grain, protein, dairy","wheat, legume, cheese",bean,"saturated fat, high sodium, fried",,complete,3,,,
blizzard,,ice cream shake,,f,1,dairy,ice cream,,,,incomplete,4,,,
vegenaise,vegenaise,egg-free mayo,,f,1,other,oil,,unsaturated fat,spread,incomplete,4,,,
tehini,,thick middle eastern paste made from ground sesame seeds,,f,1,seed,,,,paste,complete,3,,,
manioc,,cassava,,f,1,vegetable,root,,,,complete,1,,,
choi sum,,chinese flowering cabbage,,f,2,vegetable,,,,,complete,1,,,
relleno,,green chile pepper stuffed with minced meat and coated with eggs,,f,1,"fruit, protein",eggs,,saturated fat,,incomplete,3,,,
curcuma,,curcuma,,f,1,other,plant,,,,complete,2,,,
cuties,cuties,mandarins,mandarins,f,1,fruit,citrus,,,,complete,1,,,
dulse,,seaweed,,f,1,vegetable,,,,,complete,1,,,
pepita,,seeds,,f,1,seed,pumpkin?,,,,incomplete,1,,,
tofurky,tofurky,plant-based protein,,f,1,"protein, grain","legume, wheat",bean,,,incomplete,4,,,
tartare,,raw meat,,f,1,protein,red meat,beef,,,incomplete,3,,,steak tartare?
sambal,,chili peppers with vegetables,,f,1,"fruit, vegetable",,,added sugar,,complete,4,,,
quince,,pear-like fruit,,f,1,fruit,,,,,complete,1,,,
lemongrass,,lemongrass,,f,1,other,herb,,,,complete,1,,,
keto fat bomb,,keto fat bomb,,f,3,,,,,,vague,4,,,
zuccini,,zucchini,zucchini,f,1,fruit,,,,,complete,1,,,
wakame,,seaweed,,f,1,vegetable,,,,,complete,1,,,
puri,,deep-fat fried bread made from unleavened whole-wheat flour,,f,1,grain,wheat,,"fried, saturated fat, high sodium",,complete,3,,,
cress,,cress,,f,1,other,herb,,,,complete,1,,,
heart palm,,heart of palm,heart of palm,f,2,vegetable,,,,,complete,1,,,
precooked cornmeal,,precooked cornmeal,,f,2,grain,corn,,,,incomplete,1,,,
lumpia,,egg roll with filling,,f,1,"grain, vegetable",wheat,,,,incomplete,3,,,
pepperocini,,pepperoncini,pepperoncini,f,1,fruit,pepper,,,,complete,3,,,
spanakopita,,greek pie made of perfectly crispy layers of phyllo dough and a comforting filling of spinach and feta cheese,,f,1,"grain, vegetable, dairy","wheat, cheese",,saturated fat,,complete,4,,,
panettone,,italian sweet bread with various topppings,,f,1,dessert/sweet treat,baked good,,"saturated fat, added sugar",,complete,4,,,
tostones,,"slices of unripe plantains, fried, flattened, then fried again",,f,1,fruit,,,"fried, saturated fat",,complete,3,,,
laksa,,"thick wheat noodles or rice vermicelli with chicken, prawn or fish, served in spicy soup based on either rich and spicy curry coconut milk or on sour asam",,f,1,"other, grain, protein",soup,,,,incomplete,3,,,
caocao,,cacao,,f,1,other,cacao,,,,complete,1,,,
tabbouleh,,"finely chopped parsley, with tomatoes, mint, onion, bulgur, and seasoned with olive oil, lemon juice, salt and sweet pepper",,f,1,"vegetable, fruit",,,,,complete,3,,,
sambhar,,"south indian stew made with lentils, mixed vegetables, tamarind, herbs, spices & a special spice powder known as sambar powder",,f,1,"protein, vegetable",legume,lentil,,,complete,3,,,
tofurkey,tofurky,plant-based protein,,f,1,"protein, grain","legume, wheat",bean,,,incomplete,4,,,
quail,,quail,,f,1,protein,poultry,quail,,,complete,3,,,
hoagie,,"a sandwich made of a long roll filled with meat, cheese, and salad.",,f,1,"grain, dairy, protein, vegetable","wheat, cheese",,"saturated fat, high sodium, highly processed",,incomplete,3,,,
souvlaki,,small pieces of meat and vegetables on a skewer,,f,1,"protein, vegetable",,,,,incomplete,3,,,
general tso,,sweet and spicy deep fried chicken dish,general tso's,f,2,protein,poultry,chicken,"high sodium, added sugar, fried",,incomplete,4,,,
kolache,,sweet pastry that holds a portion of fruit surrounded by puffy dough,,f,1,dessert/sweet treat,baked good,,added sugar,,complete,4,,,
bilberry,,european blueberries,,f,1,fruit,,,,,complete,1,,,
linguini,,linguini,,f,1,grain,wheat,,,,complete,1,,,
barbeque,,,,f,1,,,,,,vague,v,,,
shiritaki,,shirataki,,f,1,other,plant,,gluten free,,complete,3,,,noodles from plant
sage,,sage,,f,1,other,herb,,,,complete,2,,,
ruccola,,arugula,,f,1,vegetable,,,,,complete,1,,,
cough drop,,cough drop hard candy,,m,2,other,cough drop,,,,,,,,
tulsi,,,,m,1,supplement,,,,,,,,,
berocca,,,,m,1,supplement,,,,,,,,https://www.buyberocca.com/,
bcaas,,branch chain amino acids,,m,1,supplement,,,,,,,,,
emergen-c c,,vitamin c powder add to drinks,emergen-c,m,2,"supplement, vitamin",,,,,,,,,
webber prostate,webber naturals,supplement for prostate health,,m,2,supplement,"extracts of saw palmetto, stinging nettle and tomato, along with pumpkin oil, zinc, and selenium",,,,complete,,,https://www.costco.ca/webber-naturals-super-prostate-advanced-multi-ingredient-formula-softgels%2c-180-count.product.100422062.html,
lecithin,,,,m,1,,,,,,,,,,
cigarette,,,,m,1,nicotine,,,,,,,,,
cordyceps,,supplement,,m,1,supplement,,,,,,,,,
vitaminssupplements,,,,m,1,supplement ,,,,,,,,,
rhodiola,,,,m,1,supplement,,,,,complete,,,,
elderberry,,,,m,1,supplement,,,,,incomplete,,,,
plexus slim,plexus slim,,,m,2,supplement,,,,,incomplete,,,,
acidophilus,,,,m,1,producing lactase,,,,,,,,,
brewer yeast,,,,m,2,dietary supplements based on my research,,,,,,,,,
bcaas,,,,m,1,,,,,,,,,,
pectasol c,,,,m,2,supplement,,,,,,,,,
calipia,,,,m,1,,,,,,,,,,
isagenix ionix,,,,m,2,supplement,,,,,,,,,
quest mct,quest mct,,,m,2,supplement,,,,,,,,,
nutrilite pm pack,nutrilite,,,m,3,supplement,,,,,,,,,
hydrolysate,,protein hydrolysate,protein hydrolysate,m,1,supplement,protein,,,,incomplete,,,https://en.wikipedia.org/wiki/hydrolysate,
casein,,,,m,1,,,,,,,,,,
ascorbic acid,,,,m,2,supplement,,,,,,,,,
superhd,cellucor,fat burner,,m,1,supplement,,,,,,,,,
antihistamine,,,,m,1,drug to treat allergies,,,,,,,,,
vitimin,,,vitamin,m,1,supplements,,,,,,,,,
beta alanine l histidine,,,,m,4,,,,,,,,,,
vitaminssupplements,,,,m,1,supplements,,,,,,,,,
brain octine,,,brain octane,m,2,supplement,,,,,complete,,,,
benefiber,benefiber,,,m,1,supplement,,,,,complete,,,,
benefiber,,,,m,1,supplement,,,,,complete,,,,
vitamine,,,vitamin,m,1,supplemenets,,,,,,,,,
brain octaine,,,brain octane,m,2,supplement,,,,,complete,,,,
weight gainer,,,weight gainer,m,2,supplement,,,,,,,,,
advocare spark,advocare,,,m,2,supplement,,,,,,,,,
brainictain,,brain octane,brain octane,m,1,supplement,,,,,,,,,
puritan pride,puritan's pride,supplements,,m,2,supplements,,,,,,,,,
colostrum,,,,m,1,supplement,,,,,,,,,
hyaluronic acid,,,,m,2,supplement,,,,,,,,,
innerfuel,bulletproof,prebiotic,,m,1,supplement,,,,,,,,,
herbalife,herbalife,nutrition & weight management,,m,1,supplement,,,,,,,,,
meriva sf,thorne,,,m,2,curcumin brand (medicine),,,,,,,,,
essential aminoacids,,,essential amino acids,m,2,supplements,,,,,,,,,
mcts,,medium chain triglycerides,medium chain triglycerides,m,1,supplement,,,,,complete,,,,
bhb ketone,,,,m,2,supplement,,,,,complete,,,,
elderberry,,,,m,1,supplement,,,,,complete,,,,
echinacea,,echinacea,,m,1,supplement,,,,,complete,,,,
gnc sport mv,gnc,multivitamins,,m,3,supplement,,,,,complete,,,,
revive active,,supplement,,m,2,supplement,,,,,complete,,,,
keto c caprylic acid,,supplement,,m,4,supplement,,,,,complete,,,,
restorelife,restorelife,,,m,1,supplement,,,,,incomplete,,,,
kegenix,kegenix,,,m,1,supplement,,,,,complete,,,,
bioperine,bioperine,antioxidant,,m,1,supplement,,,,,complete,,,,
propolis,,,,m,1,supplement,,,,,complete,,,,
good belly,goodbelly,probiotic supplements,,m,2,supplement,,,,,incomplete,,,,
gundry vital,gundry md,polyphenol blend,,m,2,supplement,,,,,complete,,,,
supergreens,,,super greens,m,1,supplement,,,,,complete,,,,
neocell collagenpowder,neocell,collagen powder,,m,2,supplement,,,,,complete,,,,
migrelief,migrelief,,,m,1,supplement,,,,,complete,,,,
hct,,,,m,1,supplement,,,,,complete,,,,
isagenix,isagenix,dietary supplements,,m,1,supplement,,,,,,,,,
herbalife,herbalife,dietary supplements,,m,1,supplement,,,,,incomplete,,,https://en.wikipedia.org/wiki/herbalife_nutrition,brand that makes dietary supplements
amalaki churna,,,,m,2,supplement,,,,,incomplete,,,,
psylium husk,,psyllium husk,psyllium husk,m,2,supplement,,,,,,,,,
flavoured,,,,modifier,1,,,,,,,,,,
jif,jif,,,modifier,1,,,,,,,,,,
adaptogen,,,,modifier,1,,,,,,,,,,
tuscan,,,,modifier,1,,,,,,,,,,
nuttzo,nuttzo,nut and seed butter,,modifier,1,,,,,,,,,,
nutrisystem,nutrisystem,weight loss products,,modifier,1,,,,,,,,,,
chickfila,,chik-fil-a,chik-fil-a,modifier,1,,,,,,,,,,
primal kitchen,primal kitchen,paleo friendly food,,modifier,2,,,,,,,,,,
manuka,,,,modifier,1,,,,,,,,,,manuka honey?
quaker,,,,modifier,1,,,,,,,,,,quaker oats?
fresco,,,,modifier,1,,,,,,,,,,
great,,,,modifier,1,,,,,,,,,,
butterscotch,,flavor,,modifier,1,,,,,,,,,,
bedtime,,,,modifier,1,,,,,,,,,,
reg,,,,modifier,1,,,,,,,,,,
herb,,,,modifier,1,,,,,,,,,,
artificial,,,,modifier,1,,,,,,,,,,
grass fed,,,,modifier,2,,,,,,,,,,
selfmade,,,,modifier,1,,,,,,,,,,
mulled,,,,modifier,1,,,,,,,,,,
antioxidant,,,,modifier,1,,,,,,,,,,
ozs,,,,modifier,1,,,,,,,,,,
nondairy,,,,modifier,1,,,,,,,,,,
ultra,,,,modifier,1,,,,,,,,,,
teeccino,teeccino,,,modifier,1,,,,,,,,,,
squeezed,,,,modifier,1,,,,,,,,,,
elderflower,,,,modifier,1,,,,,,,,,,"it's a flavor, often used in cocktails or someitmes lemonades"
himalayan,,,,modifier,1,,,,,,,,,,
cane,,,,modifier,1,,,,,,,,,,
diluted,,,,modifier,1,,,,,,,,,,
sparking,,,,modifier,1,,,,,,,,,,
lg,,,large,modifier,1,,,,,,,,,,
sm,,,small,modifier,1,,,,,,,,,,
stock,,,,modifier,1,,,,,,,,,,
dirty,,,,modifier,1,,,,,,,,,,
pale,,,,modifier,1,,,,,,,,,,
cava,cava,,,modifier,1,wine brand,,,,,,,,,
lite,,,,modifier,1,,,,,,,,,,
freshly,,,,modifier,1,,,,,,,,,,
onehalf irish,,,,modifier,2,,,,,,,,,,
spiked,,,,modifier,1,,,,,,,,,,
tropical,,,,modifier,1,,,,,,,,,,
spiced,,,,modifier,1,,,,,,,,,,
enhancer,,,,modifier,1,,,,,,,,,,
infused,,,,modifier,1,,,,,,,,,,
citrus,,,,modifier,1,,,,,,,,,,
condensed,,,,modifier,1,,,,,,,,,,
balm,,,,modifier,1,,,,,,,,,,
maple,,,,modifier,1,,,,,,,,,,
dunkin,dunkin,,,modifier,1,,,,,,,,,,
lavender,,,,modifier,1,,,,,,,,,,
blended,,,,modifier,1,,,,,,,,,,
drip,,,,modifier,1,,,,,,,,,,
arizona,arizona,,,modifier,1,,,,,,,,,,"arizona makes teas, "
athletic,,,,modifier,1,,,,,,,,,,
power,,,,modifier,1,,,,,,,,,,
muscle,,,,modifier,1,,,,,,,,,,
superfood,,,,modifier,1,,,,,,,,,,
freshly squeezed,,,,modifier,2,,,,,,,,,,
choc vnl,,,chocolate vanilla,modifier,2,,,,,,,,,,chocolate vanilla?
bigelow,bigelow,tea brand,,modifier,1,,,,,,,,,,
atkins,atkins,,,modifier,1,,,,,,,,,,
four sigmatic,four sigmatic,,,modifier,2,,,,,,,,,,
laird superfood,laird superfood,,,modifier,2,,,,,,,,,,
refined,,,,modifier,1,,,,,,,,,,
bubbly,,,,modifier,1,,,,,,,,,,
tetley,tetley tea,a tea company,,modifier,1,,,,,,,,,,
tartar,,,,modifier,1,,,,,,,,,,
jack,,,,modifier,1,,,,,,,,,,
powdered,,,,modifier,1,,,,,,,,,,
fermented,,,,modifier,1,,,,,,,,,,
hydration,,,,modifier,1,,,,,,,,,,
pulp,,,,modifier,1,,,,,,,,,,
pukka,,,,modifier,1,,,,,,,,,,
yorkshire,,,,modifier,1,,,,,,,,,,
gf,,,gluten free,modifier,1,,,,,,,,,,
stick,,,,modifier,1,,,,,,,,,,
nectar,,,,modifier,1,,,,,,,,,,
sugarless,,,,modifier,1,,,,,,,,,,
ten,,,,modifier,1,,,,,,,,,,
canada,,,,modifier,1,,,,,,,,,,
tblspoo,,,tablespoon,modifier,1,,,,,,,,,,
pinch,,,,modifier,1,,,,,,,,,,
grassfed,,,,modifier,1,,,,,,,,,,
fatty,,,,modifier,1,,,,,,,,,,
nitro,,,,modifier,1,,,,,,,,,,
carnation,carnation,,,modifier,1,,,,,,,,,,
lavendar,,,lavender,modifier,1,,,,,,,,,,
stella,,,,modifier,1,,,,,,,,,,
post workout,,,,modifier,2,,,,,,,,,,
