gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list
cyclosporine,cyclosporine,,,m,1,prescription,"organ transplant, rheumatoid arthritis",,,,,,['prescription'],"['organ transplant', 'rheumatoid arthritis']",,,
cymbalta,duloxetine,,,m,1,prescription,"depression, generalized anxiety disorder, neuropathy",,,,,,['prescription'],"['depression', 'generalized anxiety disorder', 'neuropathy']",,,
cysrepelete,,,,m,1,supplement,immune support,,,,,,['supplement'],['immune support'],,,
cytomel,liothyronine,,,m,1,prescription,hypothyroidism,,,,,,['prescription'],['hypothyroidism'],,,
daflon,diosmin,,,m,1,prescription,"hemorrhoid, varicose veins, lymphedema",detralex,,,,,['prescription'],"['hemorrhoid', 'varicose veins', 'lymphedema']",['detralex'],,
daily vitamin,,,,m,2,supplement,general health,,,,,,['supplement'],['general health'],,,
davinci gi benefit,,,,m,3,supplement,gut health,,,,,,['supplement'],['gut health'],,,
dayquil,,,,m,1,otc,"cough, cold, flu",,,,,,['otc'],"['cough', 'cold', 'flu']",,,
ddr prime,,,,m,2,supplement,"antioxidant, general health",,,,,,['supplement'],"['antioxidant', 'general health']",,,
decongestant,,,,m,1,category,congestion,,,,,,['category'],['congestion'],,,
depakote,divalproex,,,m,1,prescription,"seizure, bipolar disorder, migraine",,,,,,['prescription'],"['seizure', 'bipolar disorder', 'migraine']",,,
desloratadine,desloratadine,,,m,1,prescription,"hay fever, allergy, itching, hives",,,,,,['prescription'],"['hay fever', 'allergy', 'itching', 'hives']",,,
desvenlafaxine,desvenlafaxine,,,m,1,prescription,depression,,,,,,['prescription'],['depression'],,,
detralex,"diosmin, hesperidin",,,m,1,prescription,"hemorrhoid, varicose veins, lymphedema",daflon,,,,,['prescription'],"['hemorrhoid', 'varicose veins', 'lymphedema']",['daflon'],,
dexamphetamine,dextroamphetamine,,,m,1,prescription,"adhd, narcolepsy",,,,,,['prescription'],"['adhd', 'narcolepsy']",,,
dexilant,dexlansoprazole,,,m,1,prescription,"heartburn, gerd",,,proton pump inhibitor,,,['prescription'],"['heartburn', 'gerd']",,,['proton pump inhibitor']
dha,,,,m,1,supplement,"hypercholesterolaemia, inflammation",,,,,,['supplement'],"['hypercholesterolaemia', 'inflammation']",,,
dhea,dehydroepiandrosterone,,,m,1,prescription,vaginal tissue thinning,,,,,,['prescription'],['vaginal tissue thinning'],,,
diabetes,,,,m,1,condition,diabetes,,,,,,['condition'],['diabetes'],,,
diamox,acetazolamide,,,m,1,prescription,"glaucoma, epilepsy, altitude sickness, edema",acetazolamide,,,,,['prescription'],"['glaucoma', 'epilepsy', 'altitude sickness', 'edema']",['acetazolamide'],,
diaplex,,,,m,1,supplement,diabetes,,,,,,['supplement'],['diabetes'],,,
diclofenac,diclofenac,,,m,1,prescription,"pain relief, migraine, arthritis, actinic keratoses",,,,,,['prescription'],"['pain relief', 'migraine', 'arthritis', 'actinic keratoses']",,,
dicyclomine,dicyclomine,,,m,1,prescription,irritable bowel syndrome,,,,,,['prescription'],['irritable bowel syndrome'],,,
dietary supplement,,,,m,2,supplement,general health,,,,,,['supplement'],['general health'],,,
