gram_key,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list,tag6,tag7
propolis,m,1,supplement,"skin care, inflammation",,,,['supplement'],"['skin care', 'inflammation']",,,,,
propranolol,m,1,prescription,"hypertension, arrhythmia, angina, heart disease",,,,['prescription'],"['hypertension', 'arrhythmia', 'angina', 'heart disease']",,,,,
propylthiouracil,m,1,prescription,hyperthyroidism,,,,['prescription'],['hyperthyroidism'],,"['saturated fat', 'high sodium']",,,
protonix,m,1,"prescription, otc","acid reflux, cough, heartburn, gerd",,,proton pump inhibitor,"['prescription', 'otc']","['acid reflux', 'cough', 'heartburn', 'gerd']",,,,,
provex cv,m,2,supplement,heart health,,,,['supplement'],['heart health'],,['saturated fat'],,,
prozac,m,1,prescription,"depression, panic attack, obsessive compulsive disorder, bulimia, premenstrual syndrome",,,,['prescription'],"['depression', 'panic attack', 'obsessive compulsive disorder', 'bulimia', 'premenstrual syndrome']",,['added sugar'],,,
pseudoephedrine,m,1,otc,congestion,,,,['otc'],['congestion'],,,,,
psyllium,m,1,supplement,"constipation, diarrhea",,,,['supplement'],"['constipation', 'diarrhea']",,,,,
psyllium husk,m,2,supplement,"constipation, diarrhea",,,,['supplement'],"['constipation', 'diarrhea']",,,,,
pterostilbene,m,1,supplement,"antioxidant, inflammation, pain relief",,,,['supplement'],"['antioxidant', 'inflammation', 'pain relief']",,,,,
puritan pride,m,2,brand,general health,,,,['brand'],['general health'],,,,,
pycnogenol,m,1,supplement,antioxidant,,,,['supplement'],['antioxidant'],,,,,
pygeum,m,1,supplement,benign prostatic hyperplasia,,,,['supplement'],['benign prostatic hyperplasia'],,,,,
pyridoxal phosphate,m,2,supplement,general health,,,,['supplement'],['general health'],,,,,
pyridoxin,m,1,"otc, supplement",general health,,,,"['otc', 'supplement']",['general health'],,,,,
qlaira,m,1,prescription,contraceptive,,,,['prescription'],['contraceptive'],,,,,
qnasl,m,1,prescription,allergy,,,,['prescription'],['allergy'],,,,,
quercetin,m,1,supplement,"antioxidant, inflammation",,,,['supplement'],"['antioxidant', 'inflammation']",,,,,
quest mct,m,2,supplement,general health,,,,['supplement'],['general health'],,,['bars'],,
questran,m,1,prescription,hypercholesterolaemia,,,bile acid sequestrants,['prescription'],['hypercholesterolaemia'],['seroquel'],,,,
quetiapine,m,1,prescription,"schizophrenia, acute manic episode, depression",seroquel,,,['prescription'],"['schizophrenia', 'acute manic episode', 'depression']",,"['added sugar', 'saturated fat']",,,
quinapril,m,1,prescription,hypertension,,,ACE-inhibitor,['prescription'],['hypertension'],,,,,
qvar,m,1,prescription,asthma,,,,['prescription'],['asthma'],,,,,
rabeprazole,m,1,prescription,gerd,,,proton pump inhibitor,['prescription'],['gerd'],,,,,
ramipril,m,1,prescription,"hypertension, heart failure, kidney disease",,,ACE-inhibitor,['prescription'],"['hypertension', 'heart failure', 'kidney disease']",,,,,
ranitidine,m,1,"prescription, otc","ulcer, gerd",,,histamine 2 receptor antagonist,"['prescription', 'otc']","['ulcer', 'gerd']",,,,,
reactine,m,1,otc,allergy,,,,['otc'],['allergy'],,,,,
red rice yeast,m,3,supplement,hypercholesterolaemia,,,,['supplement'],['hypercholesterolaemia'],,,,,
red rice yeast pill,m,4,supplement,hypercholesterolaemia,,,,['supplement'],['hypercholesterolaemia'],,,,,
redmond relyte,m,2,supplement,general health,,,,['supplement'],['general health'],,,,,
relora,m,1,supplement,stress,,,,['supplement'],['stress'],,,,,
remifemin,m,1,otc,menopause,,,,['otc'],['menopause'],,,,,
resotran,m,1,prescription,constipation,,,,['prescription'],['constipation'],,,,,
restasis,m,1,prescription,dry eye,,,,['prescription'],['dry eye'],,,,,
restore,m,1,otc,constipation,,,,['otc'],['constipation'],,,,,
restorelife,m,1,brand,general health,,,,['brand'],['general health'],,,,,
resveratrol,m,1,supplement,hypertension,,,,['supplement'],['hypertension'],,,,,
reveracel,m,1,supplement,general health,,,,['supplement'],['general health'],,,,,
